d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
4,0,16,0
16,0,108,17
0,4,8,29
0,0,4,3
2,1,11,5
1,0,1,83
1,0,5,0
2,1,1,8
7,1,3,1
1,0,15,4
1,6,4,35
1,0,9,56
0,0,5,4
0,1,5,14
0,0,4,58
0,3,15,162
2,0,4,89
6,12,1,77
0,5,1,4
5,15,5,35
1,3,5,2
10,3,35,5
10,31,13,22
8,0,4,7
53,41,41,18
3,31,21,56
14,7,20,9
4,13,3,8
1,6,5,3
1,0,7,1
0,0,5,1
0,0,3,14
0,0,3,3
0,0,4,11
2,1,4,2
14,4,26,3
0,0,4,3
2,3,10,15
5,6,6,11
5,15,16,45
0,1,1,5
3,1,6,3
0,2,9,6
1,0,8,5
0,1,4,9
0,1,3,4
0,0,20,0
2,0,11,5
4,6,3,26
1,0,12,0
4,1,4,0
1,4,13,19
