d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
8,0,83,0
13,0,100,0
0,1,0,1
1,3,7,3
2,4,0,0
0,1,0,0
1,0,6,0
0,0,6,2
1,1,0,2
1,0,10,0
5,2,5,8
7,5,12,0
2,1,0,7
0,5,2,6
0,1,0,8
0,1,4,7
0,0,0,2
0,0,17,7
2,3,1,1
1,1,24,5
1,0,9,0
1,0,13,34
0,0,11,0
1,1,0,29
1,6,0,14
1,8,0,28
0,10,1,0
7,1,16,9
7,6,12,4
9,16,0,5
13,2,55,0
8,13,1,5
29,4,13,24
2,36,33,5
1,8,12,3
5,2,3,1
0,0,7,0
0,0,4,4
1,2,0,5
0,4,1,0
0,1,6,0
1,1,0,0
12,0,11,2
2,0,7,0
4,3,4,8
2,9,2,10
1,2,0,0
2,0,3,0
1,0,2,6
1,0,0,3
1,0,2,0
0,0,21,2
2,1,8,5
2,6,3,7
0,7,6,10
2,2,2,4
2,2,10,2
0,1,0,0
3,0,6,0
3,0,41,132
