poi_column,Size,tr_acc,tr_precision,tr_recall,tr_f1-score,te_acc,te_precision,te_recall,te_f1-score
Is_Bus_stop,"3840>>{'Bus_stop': 1506, 'Not Bus_stop': 2334}","{'mean': 0.9037890625, 'std': 0.006699456005881342}","{'mean': 0.9039580435899595, 'std': 0.006693887681446805}","{'mean': 0.9037890625, 'std': 0.006699456005881342}","{'mean': 0.903103194761146, 'std': 0.006826626546256615}","{'mean': 0.8281510416666665, 'std': 0.016307760759249047}","{'mean': 0.8279280914050412, 'std': 0.016576532626834648}","{'mean': 0.8281510416666665, 'std': 0.016307760759249047}","{'mean': 0.8256286467390348, 'std': 0.01682856234897575}"
Is_Turn,"3840>>{'Not Turn': 2819, 'Turn': 1021}","{'mean': 0.9026888020833332, 'std': 0.008848758017922278}","{'mean': 0.9086160996515266, 'std': 0.007340808641366849}","{'mean': 0.9026888020833332, 'std': 0.008848758017922278}","{'mean': 0.8962098491068201, 'std': 0.010460526942091486}","{'mean': 0.8365364583333335, 'std': 0.01337844845374507}","{'mean': 0.8363656758095273, 'std': 0.013977738199544266}","{'mean': 0.8365364583333335, 'std': 0.01337844845374507}","{'mean': 0.8201258282191914, 'std': 0.0175634142743157}"
Is_Signal,"3840>>{'Not Signal': 3576, 'Signal': 264}","{'mean': 0.9734375, 'std': 0.002568109755640113}","{'mean': 0.9740293730505023, 'std': 0.002450317202778676}","{'mean': 0.9734375, 'std': 0.002568109755640113}","{'mean': 0.9704643589659635, 'std': 0.00320376024866622}","{'mean': 0.9522135416666667, 'std': 0.005407958244087291}","{'mean': 0.9488457449076354, 'std': 0.008203602932954301}","{'mean': 0.9522135416666667, 'std': 0.005407958244087291}","{'mean': 0.9427046360880843, 'std': 0.007472321186426819}"
Is_Congestion,"3840>>{'Congestion': 865, 'Not Congestion': 2975}","{'mean': 0.8525716145833333, 'std': 0.003006269050691114}","{'mean': 0.8694536946590263, 'std': 0.003146209237130058}","{'mean': 0.8525716145833333, 'std': 0.003006269050691114}","{'mean': 0.8251156979912239, 'std': 0.004664225034257623}","{'mean': 0.7998958333333333, 'std': 0.008208042507538302}","{'mean': 0.7809283828399453, 'std': 0.016472334456371165}","{'mean': 0.7998958333333333, 'std': 0.008208042507538302}","{'mean': 0.755210595168571, 'std': 0.012204215795610436}"
Is_Adhoc,"3840>>{'Adhoc': 1314, 'Not Adhoc': 2526}","{'mean': 0.8311002604166667, 'std': 0.006755168301932597}","{'mean': 0.8438343974989466, 'std': 0.0069921036752721094}","{'mean': 0.8311002604166667, 'std': 0.006755168301932597}","{'mean': 0.8188916989730154, 'std': 0.007924151447844596}","{'mean': 0.7177604166666667, 'std': 0.01446557740594893}","{'mean': 0.7085897102662168, 'std': 0.02012496824935859}","{'mean': 0.7177604166666667, 'std': 0.01446557740594893}","{'mean': 0.6888074999595072, 'std': 0.016374313863942766}"
