poi_column,Size,tr_acc,tr_precision,tr_recall,tr_f1-score,te_acc,te_precision,te_recall,te_f1-score
Is_Bus_stop,"1769>>{'Bus_stop': 596, 'Not Bus_stop': 1173}","{'mean': 0.9470463955600807, 'std': 0.004518195530217142}","{'mean': 0.9469721366095709, 'std': 0.004562812568656154}","{'mean': 0.9470463955600807, 'std': 0.004518195530217142}","{'mean': 0.9469507425708688, 'std': 0.004566908804035596}","{'mean': 0.8837211312238921, 'std': 0.016432046293768814}","{'mean': 0.8831226720831776, 'std': 0.01679577767303026}","{'mean': 0.8837211312238921, 'std': 0.016432046293768814}","{'mean': 0.8828570864661711, 'std': 0.017136016956353386}"
Is_Turn,"1769>>{'Not Turn': 1378, 'Turn': 391}","{'mean': 0.9538715637539679, 'std': 0.006849616322605966}","{'mean': 0.9554739037963518, 'std': 0.0063078126256714976}","{'mean': 0.9538715637539679, 'std': 0.006849616322605966}","{'mean': 0.9520611232072456, 'std': 0.007487911566697933}","{'mean': 0.8878459051551673, 'std': 0.013892144041055902}","{'mean': 0.8895329795732659, 'std': 0.015048830484169265}","{'mean': 0.8878459051551673, 'std': 0.013892144041055902}","{'mean': 0.8771900907207383, 'std': 0.01688324007161982}"
Is_Signal,"1769>>{'Not Signal': 1702, 'Signal': 67}","{'mean': 0.9984595935397576, 'std': 0.0009860869295227196}","{'mean': 0.9984630610433307, 'std': 0.0009823332649065918}","{'mean': 0.9984595935397576, 'std': 0.0009860869295227196}","{'mean': 0.9984375863795362, 'std': 0.0010102800930184026}","{'mean': 0.9879022422816536, 'std': 0.004664843273500119}","{'mean': 0.9878926758846738, 'std': 0.0046862208830820646}","{'mean': 0.9879022422816536, 'std': 0.004664843273500119}","{'mean': 0.9866964940470448, 'std': 0.005711068036516843}"
Is_Congestion,"1769>>{'Congestion': 18, 'Not Congestion': 1751}","{'mean': 0.9937819468567207, 'std': 0.0011207894459135375}","{'mean': 0.9938220120460112, 'std': 0.0011064255454161847}","{'mean': 0.9937819468567207, 'std': 0.0011207894459135375}","{'mean': 0.992342646539994, 'std': 0.0017284282790902966}","{'mean': 0.9898257070149326, 'std': 0.001378032859200925}","{'mean': 0.9797568292421721, 'std': 0.00272880012796607}","{'mean': 0.9898257070149326, 'std': 0.001378032859200925}","{'mean': 0.9847650538327545, 'std': 0.0020601816322769998}"
Is_Adhoc,"1769>>{'Adhoc': 953, 'Not Adhoc': 816}","{'mean': 0.9228519394701642, 'std': 0.008098543195096806}","{'mean': 0.922940249777843, 'std': 0.008091096645780307}","{'mean': 0.9228519394701642, 'std': 0.008098543195096806}","{'mean': 0.9228178975593678, 'std': 0.00811693992299898}","{'mean': 0.8206931707239, 'std': 0.01783252661359859}","{'mean': 0.821211393091059, 'std': 0.017905700461274338}","{'mean': 0.8206931707239, 'std': 0.01783252661359859}","{'mean': 0.8203755660184099, 'std': 0.017905370875517874}"
