honk_duration,edge_honk_duration
8,0
30,0
0,4
0,5
0,5
1,0
0,3
0,11
2,0
2,3
2,11
9,10
13,1
0,0
0,0
1,1
5,8
2,1
0,2
1,0
2,2
6,2
1,0
1,0
2,1
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,1
2,0
0,2
0,0
1,2
15,3
