Date,Early_Morning,Morning,Afternoon,Evening,Whole_Day,Day
09/14/2019,NA,0.0,NA,NA,0.0,Saturday
09/15/2019,NA,NA,-1.0,NA,-1.0,Sunday
09/16/2019,NA,-1.0,-1.2985389397498324,-1.414213562373095,-1.9456593079201836,Monday
09/17/2019,NA,-1.6666666666666667,-2.1714479316675357,-0.5773502691896258,-2.5907155621299847,Tuesday
09/20/2019,NA,NA,-0.5680639322393962,-1.414213562373095,-1.3760241834360807,Friday
09/21/2019,NA,-1.6690839275283431,-1.2997075733842003,NA,-2.0080423740982805,Saturday
09/23/2019,NA,-1.7320508075688774,-2.122274723679954,NA,-2.738554357784731,Monday
