d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
0,0,1,0
0,1,20,7
0,2,0,17
1,6,4,8
2,1,19,5
0,6,8,48
0,0,3,4
2,0,5,1
1,2,13,6
1,0,4,2
1,0,6,7
1,7,7,33
0,2,6,11
4,3,6,16
0,1,3,1
2,4,6,10
9,3,11,23
2,0,9,4
1,2,5,12
0,0,8,3
5,0,7,10
2,1,5,15
1,0,7,16
0,0,6,5
0,0,3,1
1,1,10,2
0,0,3,3
2,17,19,16
0,2,5,12
51,33,21,22
8,24,16,36
8,18,10,19
25,1,131,11
1,0,6,0
1,1,11,27
0,0,25,11
0,1,1,48
3,1,22,14
1,1,26,5
1,2,4,71
0,2,0,16
1,7,6,17
1,6,1,7
2,0,7,1
0,2,7,13
1,0,1,15
0,0,0,1
3,2,10,18
0,7,3,20
