time_zone,start_date,start_time,lat,long,stay_duration,Is_Bus_stop,Is_Turn,Is_Signal,Is_Congestion,Is_Adhoc,estimated_stay_duration
Afternoon,2019-06-28,17:20:56,23.5615499,87.28319499,1,0,0,0,0,1,10.388739946380698
Afternoon,2019-06-28,17:21:05,23.561121878571434,87.28363997642855,14,0,0,0,0,1,10.388739946380698
Afternoon,2019-06-28,17:21:41,23.5604288,87.28407243,3,0,0,0,0,1,10.388739946380698
Afternoon,2019-06-28,17:22:02,23.55924681073826,87.28478584919462,149,1,1,0,0,0,24.16631130063966
Afternoon,2019-06-28,17:26:05,23.55566151555556,87.28565491777778,9,0,1,0,0,0,21.441935483870967
Afternoon,2019-06-28,17:26:30,23.55505057555556,87.2857237711111,9,0,0,0,1,0,23.918650793650794
Afternoon,2019-06-28,17:26:50,23.554534066666665,87.28602807333334,3,0,0,0,1,0,23.918650793650794
Afternoon,2019-06-28,17:27:02,23.55416413,87.28626263,1,1,0,0,1,0,24.16631130063966
Afternoon,2019-06-28,17:27:09,23.55382551,87.28645224,1,1,0,0,1,0,24.16631130063966
Afternoon,2019-06-28,17:27:21,23.553236735,87.2867418925,4,0,0,0,1,0,23.918650793650794
Afternoon,2019-06-28,17:27:41,23.552398682,87.28700165,15,1,1,0,0,0,24.16631130063966
Afternoon,2019-06-28,17:28:15,23.55168399,87.28646913,1,0,0,0,1,1,23.918650793650794
Afternoon,2019-06-28,17:28:27,23.551108952222226,87.28597789777778,9,1,0,0,0,0,24.16631130063966
Afternoon,2019-06-28,17:28:54,23.550343285,87.28535252125,8,1,0,0,0,1,24.16631130063966
Afternoon,2019-06-28,17:29:34,23.548251388571423,87.28370960714287,7,1,0,0,0,0,24.16631130063966
Afternoon,2019-06-28,17:30:19,23.545980404,87.28182987999999,5,0,0,0,0,1,10.388739946380698
Afternoon,2019-06-28,17:30:38,23.545321005454547,87.28133428818181,11,1,1,0,0,0,24.16631130063966
Afternoon,2019-06-28,17:31:04,23.54494966,87.28178947,1,0,0,0,0,1,10.388739946380698
Afternoon,2019-06-28,17:31:36,23.543815682,87.284330538,5,0,0,0,0,1,10.388739946380698
Afternoon,2019-06-28,17:32:25,23.543266375,87.287529046,10,1,0,0,0,0,24.16631130063966
Afternoon,2019-06-28,17:33:03,23.54405402,87.28801409,1,0,1,0,0,1,21.441935483870967
Afternoon,2019-06-28,17:33:45,23.543019991666668,87.29049574166667,6,0,1,0,0,1,21.441935483870967
Afternoon,2019-06-28,17:34:19,23.54175074,87.28981002,1,1,0,1,0,1,24.16631130063966
Afternoon,2019-06-28,17:34:34,23.54143539,87.29050322,1,0,0,0,0,1,10.388739946380698
Afternoon,2019-06-28,17:35:24,23.539332835,87.2931652975,4,1,0,1,0,0,24.16631130063966
Afternoon,2019-06-28,17:36:28,23.53803497,87.29636185,1,0,1,0,1,0,23.918650793650794
Afternoon,2019-06-28,17:36:40,23.53749721117648,87.29677222764705,17,1,1,0,1,0,24.16631130063966
Afternoon,2019-06-28,17:37:20,23.53660175,87.29616878,1,0,1,1,1,1,23.918650793650794
Afternoon,2019-06-28,17:37:26,23.536323755,87.29602561875001,8,0,1,0,0,1,21.441935483870967
Afternoon,2019-06-28,17:37:43,23.535921942,87.29592729999999,5,0,0,1,1,0,23.918650793650794
Afternoon,2019-06-28,17:38:03,23.53556036,87.29657408,1,0,0,0,0,1,10.388739946380698
Afternoon,2019-06-28,17:38:09,23.535389024,87.297032275,10,0,1,0,0,0,21.441935483870967
Afternoon,2019-06-28,17:38:38,23.53574236647057,87.29781494261027,272,1,0,0,0,0,24.16631130063966
Afternoon,2019-06-28,17:44:23,23.535182866116504,87.29843135378641,103,0,0,0,0,0,10.388739946380698
Afternoon,2019-06-28,17:46:35,23.535118716,87.297414092,5,0,0,0,1,0,23.918650793650794
Afternoon,2019-06-28,17:47:01,23.5355174,87.296627385,2,0,0,0,1,1,23.918650793650794
Afternoon,2019-06-28,17:47:22,23.5357726035,87.29579483475001,40,0,1,1,0,0,21.441935483870967
Afternoon,2019-06-28,17:51:12,23.527438597,87.31118586299999,10,1,1,0,0,0,24.16631130063966
Afternoon,2019-06-28,17:51:59,23.52856294,87.30869407,1,0,1,0,0,1,21.441935483870967
Afternoon,2019-06-28,17:52:10,23.52819685,87.30846578,1,0,0,0,0,1,10.388739946380698
Afternoon,2019-06-28,17:52:46,23.526445986250003,87.31125721750001,8,0,0,0,0,1,10.388739946380698
Afternoon,2019-06-28,17:53:13,23.52558718272727,87.31120201636362,11,0,0,0,0,1,10.388739946380698
Afternoon,2019-06-28,17:56:10,23.510803182,87.310674251,10,0,0,0,0,1,10.388739946380698
Afternoon,2019-06-28,17:58:04,23.503647191,87.30777088049999,20,1,0,0,0,0,24.16631130063966
Afternoon,2019-06-28,17:59:26,23.5002461575,87.30604142375,8,1,1,0,0,0,24.16631130063966
Evening,2019-06-28,18:01:12,23.49650823,87.31359345333333,6,1,0,0,0,0,22.97979797979798
