poi_column,Size,tr_acc,tr_precision,tr_recall,tr_f1-score,te_acc,te_precision,te_recall,te_f1-score
Is_Bus_stop,"4396>>{0: 2809, 1: 1587}","{'mean': 0.9345825978353798, 'std': 0.003817258077686572}","{'mean': 0.9344701105652459, 'std': 0.0038397800080854174}","{'mean': 0.9345825978353798, 'std': 0.003817258077686572}","{'mean': 0.9342270827414707, 'std': 0.0038596904686991804}","{'mean': 0.8855316475333541, 'std': 0.010124239917171363}","{'mean': 0.8851189970871531, 'std': 0.01035313386204464}","{'mean': 0.8855316475333541, 'std': 0.010124239917171363}","{'mean': 0.8844333206372507, 'std': 0.010202073344859423}"
Is_Turn,"4396>>{0: 3276, 1: 1120}","{'mean': 0.9054254097520156, 'std': 0.0038565910222663137}","{'mean': 0.9122830671932525, 'std': 0.003437635144159497}","{'mean': 0.9054254097520156, 'std': 0.0038565910222663137}","{'mean': 0.8984805593719746, 'std': 0.004545082144502951}","{'mean': 0.8603953356086461, 'std': 0.01025196907856268}","{'mean': 0.8622010751878573, 'std': 0.011656261776362229}","{'mean': 0.8603953356086461, 'std': 0.01025196907856268}","{'mean': 0.8475005306720808, 'std': 0.012368861191454349}"
Is_Signal,"4396>>{0: 4110, 1: 286}","{'mean': 0.9862261005620999, 'std': 0.0014095240156994}","{'mean': 0.9861465925159372, 'std': 0.0014265521169694012}","{'mean': 0.9862261005620999, 'std': 0.0014095240156994}","{'mean': 0.985587608111844, 'std': 0.0015533558306751148}","{'mean': 0.9651273916640811, 'std': 0.004541675903234067}","{'mean': 0.9627394867624929, 'std': 0.0056185776834182955}","{'mean': 0.9651273916640811, 'std': 0.004541675903234067}","{'mean': 0.9616624471439849, 'std': 0.005538941386783596}"
Is_Congestion,"4396>>{0: 3398, 1: 998}","{'mean': 0.8597305368399158, 'std': 0.0032834388949652634}","{'mean': 0.8677653525619768, 'std': 0.00309382879774231}","{'mean': 0.8597305368399158, 'std': 0.0032834388949652634}","{'mean': 0.8387670808455404, 'std': 0.004913585392977546}","{'mean': 0.8195412917571621, 'std': 0.008248233095960154}","{'mean': 0.8096523315401446, 'std': 0.013354176125336603}","{'mean': 0.8195412917571621, 'std': 0.008248233095960154}","{'mean': 0.7889141713696888, 'std': 0.010581801000555703}"
Is_Adhoc,"4396>>{0: 2787, 1: 1609}","{'mean': 0.8419015715314822, 'std': 0.005949578969215232}","{'mean': 0.8491577909725458, 'std': 0.0055791850658023475}","{'mean': 0.8419015715314822, 'std': 0.005949578969215232}","{'mean': 0.8349556849949231, 'std': 0.006683275237530461}","{'mean': 0.7524587340986659, 'std': 0.012449047279534203}","{'mean': 0.7503864657914028, 'std': 0.01438477465849881}","{'mean': 0.7524587340986659, 'std': 0.012449047279534203}","{'mean': 0.7393927354622656, 'std': 0.013491213558022694}"
