start_time,end_time,score
,,-2
,,2
,,2
,,-2
,,-2
,,2
,,-2
,,2
,,-2
,,2
,,-2
,,-2
,,2
,,2
,,-2
,,2
,,-2
,,2
,,2
,,-2
,,-2
