wifi_count,edge_wifi_count
21,0
0,0
0,2
0,1
1,1
0,1
2,4
0,3
0,1
0,2
0,2
0,0
0,2
1,4
0,7
1,15
3,0
1,8
2,2
0,29
9,32
0,8
0,8
0,0
0,0
0,1
2,3
0,2
0,3
0,6
1,7
2,3
2,3
1,4
1,0
0,0
1,1
1,0
0,3
0,5
0,2
