d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
4,0,18,0
1,0,0,2
0,2,4,27
0,6,1,57
0,0,4,22
8,12,14,29
0,0,4,6
0,2,3,32
0,1,4,31
0,0,4,1
1,2,3,10
0,1,7,81
0,0,7,35
1,1,4,4
0,1,0,28
3,0,12,18
0,0,4,9
0,0,13,3
0,2,0,23
0,1,5,2
1,2,4,32
2,3,5,47
0,14,4,39
0,0,2,2
4,5,6,3
0,7,3,33
8,2,25,7
13,2,54,2
11,17,6,14
11,11,17,7
18,62,11,28
5,38,17,45
14,8,17,21
5,8,7,14
2,2,11,3
1,0,9,2
0,0,10,2
6,7,2,28
2,0,2,10
2,5,0,12
0,5,9,7
3,3,2,9
5,0,4,6
2,3,10,12
2,0,10,6
1,8,3,48
1,0,6,2
1,1,8,11
1,0,7,7
0,0,0,11
2,0,14,14
3,7,3,40
0,11,1,31
