wifi_count,edge_wifi_count
1,0
1,0
1,10
0,5
1,0
0,1
1,1
0,0
1,1
2,9
2,1
1,8
1,3
0,0
1,1
2,5
0,3
0,5
1,2
1,2
1,1
0,6
3,35
3,4
44,41
18,37
5,32
24,1
2,2
0,0
1,2
0,0
0,0
0,1
0,1
3,5
0,16
0,1
1,6
0,1
