lat,long,wifi_count,Is_Bus_stop
23.496364688666677,87.31369305866664,0,1
23.50025376384616,87.30577714384614,2,1
23.533170979,87.30644226700001,0,1
23.53678678631579,87.30156487263159,3,1
23.535022245625004,87.29771108362499,7,1
23.539205377058835,87.29319325117643,38,1
23.55005923090909,87.28506646181818,1,1
23.55395310363637,87.28642095363638,0,1
23.559325005,87.28458033583333,1,1
23.500304917407412,87.30586929592594,1,1
23.53686597909091,87.30157630318182,4,1
23.53507936868421,87.29771116894737,4,1
23.539085672954545,87.29318011909088,44,1
23.544409395,87.28280159124998,0,1
23.547039913636365,87.28257085181818,2,1
23.550117362857147,87.28497421357143,0,1
23.55121926923077,87.28589608230769,0,1
23.554024270952386,87.28626028047621,2,1
23.496470914285712,87.31357813892859,0,1
23.50030663,87.30590870000002,0,1
23.53338031875,87.30645743375,0,1
23.536974205,87.3016291,4,1
23.539190779000002,87.293145542,10,1
23.544478215384625,87.2828531223077,0,1
23.547032079411764,87.28260524882353,2,1
23.54818660620689,87.28357422103451,2,1
23.5501216255,87.2850917775,1,1
23.55922467538461,87.28459182307691,3,1
23.49623405413044,87.31397147456524,1,1
23.504193455,87.308050295,0,1
23.536912067142854,87.30145138142856,3,1
23.53893278125,87.2947268275,3,1
23.544521106999998,87.28284879799999,3,1
23.54707998807693,87.28269234307692,3,1
23.551320141428572,87.28605439142858,6,1
23.500347386666665,87.3059326572222,0,1
23.53687736,87.30148497333332,1,1
23.542101258333336,87.28987012416668,3,1
23.543988003333336,87.28796629555555,0,1
23.55402880625001,87.28633828625,2,1
23.496451062105265,87.31361899947369,3,1
23.500231719000002,87.3059980258,4,1
23.536874407142854,87.30141716571428,0,1
23.53915705242424,87.29317676242422,39,1
23.542095095882352,87.28981085058821,4,1
23.544567875999995,87.28279217849999,5,1
23.550100878571428,87.28507213285715,1,1
23.55125017125,87.28597406374998,3,1
23.50021031321429,87.30586070142859,2,1
23.535147031428572,87.29762364114285,3,1
23.542063879375,87.28976768687497,0,1
23.54403865833333,87.28806154333333,0,1
23.54448185833333,87.28282383833334,2,1
23.54999029894737,87.28494744368427,0,1
23.50031605209303,87.30584811186044,0,1
23.533309639166664,87.30646042500004,0,1
23.537001160312496,87.30145085312502,5,1
23.53917202,87.29311271384616,8,1
23.542162685454546,87.28987256545456,1,1
23.54417265062501,87.288051843125,2,1
23.54457247333333,87.28270201458332,3,1
23.546950798,87.2825540154286,2,1
