wifi_count,edge_wifi_count
0,0
2,0
0,1
1,1
0,10
0,4
0,0
0,1
0,1
0,0
0,0
0,0
0,2
2,6
1,1
0,2
0,9
2,2
4,11
2,4
0,1
4,5
1,7
5,8
4,4
0,31
3,6
0,2
26,59
2,12
4,12
14,29
5,29
10,10
2,1
24,0
4,1
1,1
0,2
0,0
2,5
0,8
0,24
1,9
0,0
0,1
