poi,zone,tr_acc,tr_precision,tr_recall,tr_f1-score,te_acc,te_precision,te_recall,te_f1-score
Is_Bus_stop,station,0.8683333333333333,0.8713411970292703,0.8683333333333333,0.8680661673221609,0.64,0.7367647058823529,0.64,0.6318840579710145
Is_Bus_stop,dvc_more,0.867,0.8678240894377135,0.867,0.8669254634734855,0.8701298701298701,0.8670231729055259,0.8701298701298701,0.86553374030688
Is_Bus_stop,54ft_road,0.8653333333333333,0.8673815261618553,0.8653333333333333,0.865145375955109,0.7932960893854749,0.8471555590526398,0.7932960893854749,0.7743273094640338
Is_Bus_stop,junction_mall,0.885,0.8863601594769854,0.885,0.8848986980652638,0.8552631578947368,0.8790259230164965,0.8552631578947368,0.8342850397650983
Is_Bus_stop,prantika_bus_stand,0.8726666666666667,0.8735758673108418,0.8726666666666667,0.8725891442393172,0.9425287356321839,0.9314401622718053,0.9425287356321839,0.9369516425219342
Is_Bus_stop,54ft_test,0.8706666666666667,0.8732171497307823,0.8706666666666667,0.8704453297099578,0.8214548126377663,0.8349896589931931,0.8214548126377663,0.8235267081021602
Is_Turn,station,0.8535049288061336,0.8594585750572347,0.8535049288061336,0.8528958139130767,0.94,0.94375,0.94,0.928110599078341
Is_Turn,dvc_more,0.854052573932092,0.8603292844290403,0.854052573932092,0.8534142157898214,0.6753246753246753,0.636072882341539,0.6753246753246753,0.6262141220124414
Is_Turn,54ft_road,0.8562431544359255,0.860438444687809,0.8562431544359255,0.8558236225019823,0.9441340782122905,0.9593125317739186,0.9441340782122905,0.9485011305813354
Is_Turn,junction_mall,0.8502190580503833,0.8554253850707745,0.8502190580503833,0.8496685383183642,0.9210526315789473,0.9189910259519766,0.9210526315789473,0.9190681622088007
Is_Turn,prantika_bus_stand,0.8535049288061336,0.8576679723996631,0.8535049288061336,0.8530774057877344,0.7241379310344828,0.8326738270209157,0.7241379310344828,0.7143597911033742
Is_Turn,54ft_test,0.8535049288061336,0.8588570965798327,0.8535049288061336,0.8529566599873942,0.8060249816311535,0.8563844502736878,0.8060249816311535,0.8156648552573215
Is_Signal,station,0.8827106863596872,0.9013430729274272,0.8827106863596872,0.8813334097027322,0.88,1.0,0.88,0.9361702127659575
Is_Signal,dvc_more,0.8855343179843614,0.9051888527821933,0.8855343179843614,0.884129178705761,0.8961038961038961,0.8961038961038961,0.8961038961038961,0.8961038961038961
Is_Signal,54ft_road,0.8920503909643788,0.908282521273855,0.8920503909643788,0.8909666787143036,1.0,1.0,1.0,1.0
Is_Signal,junction_mall,0.8835794960903562,0.9032155425161771,0.8835794960903562,0.8821446473982786,0.5526315789473685,0.8150418660287082,0.5526315789473685,0.5969417307023979
Is_Signal,prantika_bus_stand,0.8870547350130321,0.905739631205135,0.8870547350130321,0.8857392670566866,0.27586206896551724,1.0,0.27586206896551724,0.4324324324324324
Is_Signal,54ft_test,0.885968722849696,0.9046803645062828,0.885968722849696,0.8846351607841068,0.7545922116091109,0.9407121840589725,0.7545922116091109,0.8164031407894631
Is_Congestion,station,0.7972070431086824,0.801837743490904,0.7972070431086824,0.7964262518942864,0.44,0.7920543293718165,0.44,0.5084550084889643
Is_Congestion,dvc_more,0.7880995749848209,0.7943498496615266,0.7880995749848209,0.786968689230523,0.8701298701298701,0.9620856755185113,0.8701298701298701,0.9097615999024448
Is_Congestion,54ft_road,0.7884031572556163,0.7950388444712627,0.7884031572556163,0.787206679279632,0.659217877094972,0.9945035141466931,0.6592178770949721,0.7889662925739055
Is_Congestion,junction_mall,0.7908318154219793,0.7946299726624938,0.7908318154219793,0.7901555244909905,0.02631578947368421,0.9870175438596491,0.02631578947368421,0.02631578947368421
Is_Congestion,prantika_bus_stand,0.8066180935033394,0.8128799392097263,0.8066180935033394,0.8056456622904448,0.034482758620689655,1.0,0.034482758620689655,0.06666666666666667
Is_Congestion,54ft_test,0.803885853066181,0.8081614281714246,0.803885853066181,0.8032032406037289,0.5767817781043351,0.9565541730695262,0.5767817781043351,0.7109900999856553
Is_Adhoc,station,0.7928977272727272,0.7936486282231907,0.7928977272727272,0.792765245150022,0.6,0.6111888111888112,0.6,0.5657754010695188
Is_Adhoc,dvc_more,0.8028409090909091,0.803861497617903,0.8028409090909091,0.8026752189580675,0.5974025974025974,0.7019743769743769,0.5974025974025974,0.6221598983400394
Is_Adhoc,54ft_road,0.790625,0.792396692121133,0.790625,0.7903073572110257,0.8044692737430168,0.8323577642513689,0.8044692737430168,0.7925068440222914
Is_Adhoc,junction_mall,0.8019886363636364,0.8030673157140196,0.8019886363636364,0.8018122885848438,0.8157894736842105,0.851608187134503,0.8157894736842105,0.767096061832904
Is_Adhoc,prantika_bus_stand,0.7971590909090909,0.7987892362125492,0.7971590909090909,0.7968820463086435,0.5632183908045977,0.6684546615581098,0.5632183908045977,0.5128979289157264
Is_Adhoc,54ft_test,0.8071022727272728,0.8079254683637398,0.8071022727272728,0.8069732652383651,0.6987509184423218,0.6968618861963539,0.6987509184423218,0.6959184813068896
