poi,zone,tr_acc,tr_precision,tr_recall,tr_f1-score,te_acc,te_precision,te_recall,te_f1-score
Is_Bus_stop,station,0.8003333333333333,0.8011268360047431,0.8003333333333333,0.8002017106602782,0.84,0.8441176470588235,0.84,0.836111111111111
Is_Bus_stop,dvc_more,0.8093333333333333,0.8102157247281155,0.8093333333333333,0.809197651663405,0.6493506493506493,0.7211789578410647,0.6493506493506493,0.6677685950413222
Is_Bus_stop,54ft_road,0.805,0.8062807982358227,0.805,0.8047959249842418,0.6815642458100558,0.6852627112651156,0.6815642458100558,0.6828840815519558
Is_Bus_stop,junction_mall,0.794,0.7943013645973477,0.794,0.7939472504961269,0.8421052631578947,0.8480418217260323,0.8421052631578947,0.8444292549555709
Is_Bus_stop,prantika_bus_stand,0.7993333333333333,0.799949763424923,0.7993333333333333,0.7992301822625314,0.7011494252873564,0.9357508342602894,0.7011494252873564,0.7960388690195019
Is_Bus_stop,54ft_test,0.8036666666666666,0.8041696957501717,0.8036666666666666,0.8035854601663645,0.6620132255694342,0.6786382607300417,0.6620132255694342,0.6660518938561125
Is_Turn,station,0.8398138006571741,0.8448654439975224,0.8398138006571741,0.8392250364099507,0.64,0.8577249575551782,0.64,0.7118421052631578
Is_Turn,dvc_more,0.8195509309967142,0.824657089707435,0.8195509309967142,0.818838611111174,0.5714285714285714,0.611002540551104,0.5714285714285714,0.5838154708805913
Is_Turn,54ft_road,0.8244797371303395,0.8310372871896597,0.8244797371303395,0.8236061865465858,0.5083798882681564,0.8207700121107941,0.5083798882681564,0.6024267125774451
Is_Turn,junction_mall,0.8258488499452354,0.8312893350246378,0.8258488499452354,0.8251309181177907,0.5394736842105263,0.7977371896358652,0.5394736842105263,0.5725737564885998
Is_Turn,prantika_bus_stand,0.8329682365826944,0.8376935290574945,0.8329682365826944,0.8323818730564989,0.5172413793103449,0.5029726516052319,0.5172413793103449,0.5058632300011611
Is_Turn,54ft_test,0.8129791894852135,0.8156832939318726,0.8129791894852135,0.8125778306460745,0.5848640705363704,0.6483538384371067,0.5848640705363704,0.6057401106519292
Is_Signal,station,0.8835794960903562,0.8897651897258424,0.8835794960903562,0.8831157488217054,0.86,1.0,0.86,0.924731182795699
Is_Signal,dvc_more,0.8820590790616855,0.8896353905756997,0.8820590790616855,0.8814829493535414,0.8441558441558441,0.9107966660205468,0.8441558441558441,0.8742115027829314
Is_Signal,54ft_road,0.8850999131190269,0.8931299452529328,0.8850999131190269,0.8845101672351025,0.5977653631284916,1.0,0.5977653631284916,0.7482517482517482
Is_Signal,junction_mall,0.8911815812337098,0.8985497675071401,0.8911815812337098,0.8906763009372027,0.3815789473684211,0.7686980609418282,0.3815789473684211,0.4046984963713405
Is_Signal,prantika_bus_stand,0.8916159860990444,0.8998835758066596,0.8916159860990444,0.8910528658187137,0.7931034482758621,1.0,0.7931034482758621,0.8846153846153845
Is_Signal,54ft_test,0.8864031277150304,0.894261645004341,0.8864031277150304,0.8858342328794994,0.7134459955914768,0.921358822059834,0.7134459955914768,0.7861961780870835
Is_Congestion,station,0.7710989678202793,0.7760239530757534,0.7710989678202793,0.7700733454322871,0.56,0.7360271646859082,0.56,0.6258627858627858
Is_Congestion,dvc_more,0.7805100182149363,0.7822414806110458,0.7805100182149363,0.7801728757097581,0.8181818181818182,0.9440559440559441,0.8181818181818182,0.8766233766233766
Is_Congestion,54ft_road,0.769277474195507,0.7723168599871828,0.769277474195507,0.7686318871439979,0.88268156424581,0.9881592354449948,0.88268156424581,0.9324469936840011
Is_Congestion,junction_mall,0.7786885245901639,0.7844801504035549,0.7786885245901639,0.7775563627241746,0.6447368421052632,0.9671052631578947,0.6447368421052632,0.7736842105263159
Is_Congestion,prantika_bus_stand,0.7789921068609593,0.782755073866742,0.7789921068609593,0.7782543468225881,0.8620689655172413,1.0,0.8620689655172413,0.9259259259259259
Is_Congestion,54ft_test,0.7874924104432302,0.7920614132492539,0.7874924104432302,0.786658031088083,0.8016164584864071,0.9507933981901008,0.8016164584864071,0.8686549076577073
Is_Adhoc,station,0.815625,0.8208690586565364,0.815625,0.8148685855293146,0.6,0.5972835314091681,0.6,0.5947454844006569
Is_Adhoc,dvc_more,0.8071022727272728,0.8098253470667264,0.8071022727272728,0.8066774918255223,0.6233766233766234,0.6756045678459471,0.6233766233766234,0.641823482639809
Is_Adhoc,54ft_road,0.821875,0.825710957332923,0.821875,0.8213489986456929,0.6201117318435754,0.6201117318435754,0.6201117318435754,0.6201117318435754
Is_Adhoc,junction_mall,0.8125,0.8181234397819935,0.8125,0.8116677167402041,0.7763157894736842,0.7514538093485462,0.7763157894736842,0.7556844170982544
Is_Adhoc,prantika_bus_stand,0.8176136363636364,0.8193559905216347,0.8176136363636364,0.8173645290338222,0.5402298850574713,0.551102826964896,0.5402298850574713,0.538405400474366
Is_Adhoc,54ft_test,0.819034090909091,0.8231655733046347,0.819034090909091,0.8184538506375175,0.5980896399706098,0.5975709941826668,0.5980896399706098,0.5978145822251085
