poi,zone,tr_acc,tr_precision,tr_recall,tr_f1-score,te_acc,te_precision,te_recall,te_f1-score
Is_Bus_stop,54ft_test,0.931,0.9327357511797321,0.931,0.9309307388798213,0.8736223365172667,0.8847744239783342,0.8736223365172667,0.8750226689988442
Is_Turn,54ft_test,0.906078860898138,0.9083106683220493,0.906078860898138,0.9059503431182159,0.864070536370316,0.888624929267483,0.864070536370316,0.8692569822676839
Is_Signal,54ft_test,0.9359252823631624,0.9420516200218036,0.9359252823631624,0.9357025096605065,0.8618662747979426,0.9487788689920675,0.8618662747979426,0.8912003011717179
Is_Congestion,54ft_test,0.8582270795385549,0.8643204211094614,0.8582270795385549,0.857631794416453,0.6032329169728141,0.9598575642836931,0.6032329169728141,0.7315884924560705
Is_Adhoc,54ft_test,0.8661931818181818,0.8662670832021571,0.8661931818181818,0.8661864319569968,0.7391623806024982,0.7401279586153453,0.7391623806024982,0.7346747150615796
