honk_duration,edge_honk_duration
103,0
1,7
2,7
8,3
8,21
3,7
7,4
2,17
0,55
2,0
5,27
0,10
5,11
24,9
1,2
4,5
6,23
4,22
11,27
4,40
6,38
1,15
1,8
1,5
1,24
2,10
1,12
7,31
0,13
0,12
3,2
1,5
4,9
0,6
0,20
2,12
1,24
1,15
