honk_duration,edge_honk_duration
7,0
23,6
1,3
1,1
2,3
2,0
5,7
3,2
0,0
0,0
6,0
0,0
0,3
0,0
3,1
0,4
1,0
0,0
3,2
0,11
29,9
12,0
1,7
2,10
16,11
24,4
11,1
5,4
0,1
0,0
3,6
6,1
4,1
0,0
2,0
2,0
0,0
0,1
0,0
3,1
0,0
0,0
0,1
27,1
0,5
2,1
2,5
2,3
0,1
3,1
