wifi_count,edge_wifi_count
0,0
0,0
0,2
3,2
1,2
0,0
1,0
0,1
1,1
2,0
2,16
1,1
0,3
0,7
0,14
0,1
4,0
3,13
4,4
7,16
40,25
20,0
4,22
6,14
6,6
16,0
0,1
1,1
0,0
0,3
0,3
0,3
0,5
2,18
