d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
8,0,37,0
0,4,3,47
2,0,55,0
2,0,0,20
0,8,6,18
1,0,18,0
2,7,0,2
8,0,9,5
0,8,0,0
0,4,1,1
0,0,0,24
0,0,0,0
0,0,0,0
0,1,0,0
1,0,3,6
0,1,4,15
2,4,2,3
6,9,6,22
9,15,7,10
5,1,0,0
12,0,56,0
9,39,29,6
3,6,0,4
34,40,2,6
21,0,1,2
6,40,5,2
2,4,21,1
5,23,0,4
0,0,0,0
4,3,1,7
2,16,0,1
3,3,0,0
3,21,0,1
1,8,0,1
3,6,4,4
3,1,0,0
0,1,0,0
0,0,4,0
1,0,2,1
0,1,7,1
0,17,1,23
0,0,9,0
