start_time,end_time,scores
08:27:42,08:27:42,-2
09:45:29,09:45:50,2
09:45:57,09:45:59,-2
11:22:22,11:22:26,-2
11:22:48,11:23:09,2
12:12:38,12:13:20,2
17:29:50,17:30:06,2
19:24:06,19:24:09,-2
19:24:16,19:25:08,2
07:23:33,07:24:17,2
08:42:55,08:43:32,2
08:43:40,08:44:39,2
10:29:27,10:29:51,2
11:06:42,11:07:12,2
11:07:36,11:07:53,2
16:34:28,16:35:00,2
16:35:14,16:35:23,2
18:20:20,18:20:49,2
