d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
0,0,7,0
1,0,13,6
1,0,1,7
2,7,14,4
1,0,6,4
2,2,9,5
0,0,1,5
2,2,10,7
0,0,16,1
3,0,3,2
0,0,6,0
1,0,4,3
0,2,0,10
4,3,8,3
2,3,1,2
2,4,7,3
4,2,4,4
4,12,1,5
0,5,2,6
5,2,5,3
1,0,2,5
2,13,2,18
6,11,6,9
6,15,1,33
37,29,10,20
4,3,7,3
20,5,19,6
13,14,10,12
5,2,7,8
22,0,39,1
10,0,41,3
0,4,0,31
1,0,14,25
0,0,4,11
0,1,0,9
0,0,6,8
0,0,1,1
4,10,15,21
0,8,1,8
1,3,10,14
0,0,10,2
