wifi_count,edge_wifi_count
0,0
0,3
2,7
0,0
0,0
0,0
0,2
3,1
1,2
2,1
0,4
2,5
5,3
0,7
5,0
0,11
0,2
5,16
2,5
0,3
0,3
2,15
1,8
35,34
0,35
14,60
1,48
4,11
2,5
0,2
0,3
0,1
0,1
0,3
0,0
0,0
1,8
0,10
0,0
3,0
1,2
1,0
