d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
7,0,10,0
6,1,130,1
3,0,9,12
1,2,2,7
7,10,14,6
3,9,8,17
1,5,7,9
3,2,9,19
7,3,7,4
12,25,15,6
0,24,4,6
51,41,18,10
5,62,4,13
5,7,1,0
4,28,0,0
0,0,2,2
5,3,1,1
2,2,0,3
5,4,6,1
3,6,3,1
3,14,4,6
1,19,0,1
1,0,0,0
3,0,3,0
2,0,0,0
0,0,1,1
1,0,1,0
0,0,2,0
1,26,1,31
