start_time,end_time,scores
08:35:28,08:35:47,-2
08:36:17,08:36:25,-2
08:36:50,08:37:23,2
09:56:16,09:56:32,2
11:31:27,11:31:34,-2
11:32:28,11:33:10,2
12:20:09,12:20:36,-2
12:20:43,12:20:45,-2
12:21:39,12:21:50,2
17:37:11,17:37:33,-2
17:38:08,17:38:19,2
17:38:43,17:39:03,2
19:33:37,19:33:51,2
19:34:31,19:34:45,2
19:35:10,19:35:24,2
07:14:59,07:15:21,2
07:15:43,07:15:54,2
07:16:25,07:16:33,2
08:35:21,08:35:45,2
08:36:26,08:36:36,-2
10:19:19,10:19:48,2
10:20:11,10:20:46,2
10:21:03,10:21:07,-2
10:21:27,10:21:34,2
10:55:27,10:55:46,-2
10:55:54,10:56:10,2
10:56:35,10:57:11,2
10:57:45,10:58:22,2
16:26:02,16:26:27,2
18:11:13,18:11:41,2
18:12:10,18:12:22,2
18:13:05,18:13:16,2
