start_time,end_time,scores
09:37:40,09:37:50,2.0
09:38:29,09:38:29,-2.0
09:38:43,09:39:01,2.0
17:34:41,17:34:56,-2.0
17:35:29,17:35:42,2.0
17:36:08,17:36:33,2.0
17:36:51,17:36:53,-2.0
17:37:04,17:37:53,2.0
17:38:12,17:38:29,-0.408715141105984
08:08:51,08:08:57,-1.000175566934443
08:09:13,08:09:38,2.0
08:10:02,08:10:14,2.0
08:10:39,08:10:58,2.0
08:11:37,08:11:38,2.0
16:08:41,16:08:55,2.0
16:09:10,16:09:13,-2.0
16:09:25,16:09:35,2.0
16:10:02,16:10:23,2.0
16:11:03,16:11:37,2.0
16:11:53,16:12:08,-2.0
