Is_Early_Morning,Is_Morning,Is_Afternoon,Is_Evening,stay_duration,wifi_count,edge_wifi_count,honk_duration,edge_honk_duration,d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration,human_made,natural_land,road_exist_percent,highly_populated_poi_exist,RSI,Is_Bus_stop,Is_Turn,Is_Signal,Is_Congestion,Is_Adhoc
1,0,0,0,488,13,0.0,103,0.0,13,0.0,103,0.0,0.1711477636342834,0.6570881296756264,0.17176410669009018,0.0,0.0,0,0,0,0,1
1,0,0,0,5,0,0.020362756481278735,1,0.04751309845631705,0,0.020362756481278735,2,0.04072551296255747,0.1753620891131812,0.6429537771912428,0.18168413369557607,0.0,1.7625076026828101,0,0,0,0,1
1,0,0,0,6,0,0.006550916865666909,2,0.045856418059668363,0,0.006550916865666909,3,0.03930550119400145,0.1033359745858201,0.7699238883113673,0.12674013710281257,0.0,1.5824077450067624,0,0,0,0,1
1,0,0,0,15,0,0.02082909945153177,8,0.02082909945153177,0,0.02082909945153177,8,0.02082909945153177,0.07311131825397983,0.7819295358219607,0.1449591459240595,0.0,1.7519934730671831,1,0,0,0,0
1,0,0,0,26,2,0.0021839921523956326,8,0.022931917600154145,2,0.0021839921523956326,8,0.022931917600154145,0.057775851795677374,0.7735803405377101,0.15851795677373925,1.0,2.4594212758933107,1,0,0,0,0
1,0,0,0,7,4,0.0071890584821976515,3,0.02516170468769178,4,0.0071890584821976515,4,0.021567175446592955,0.13200291915640824,0.6377023127275961,0.2302947681159957,0.0,1.9038241917525407,0,0,0,0,1
1,0,0,0,25,3,0.020871435322212875,7,0.04174287064442575,3,0.020871435322212875,8,0.03130715298331931,0.13237645429158776,0.6421982183776774,0.22306383041431194,1.0,1.8820112010450023,1,0,1,0,0
1,0,0,0,9,0,0.0022646017632940636,2,0.01924911498799954,0,0.0022646017632940636,3,0.01811681410635251,0.02737177404091661,0.8260776408494713,0.1465505851096121,0.0,1.3815969035275932,0,0,0,0,1
1,0,0,0,12,0,0.0017585027562919903,0,0.03223921719868649,0,0.0017585027562919903,0,0.03223921719868649,0.1013603715921754,0.5805980633369007,0.31804156507092396,0.0,1.0772992259481045,0,0,0,0,1
1,0,0,0,33,1,0.0,2,0.0,1,0.0,2,0.0,0.09114119637995732,0.5397358546096681,0.36912294901037446,0.0,4.317536022996172,0,1,0,0,0
1,0,0,0,21,0,0.005091899812307774,5,0.13748129493230993,0,0.005091899812307774,6,0.13238939512000214,0.053750091287519175,0.6513766157890893,0.29487329292339154,0.0,1.9138849346454163,1,1,0,0,0
1,0,0,0,10,0,0.004125688926896449,0,0.013752296422988164,0,0.004125688926896449,0,0.013752296422988164,0.014614533620229778,0.6156864570317675,0.1306822860538969,1.0,1.5089294822481505,1,0,0,0,0
1,0,0,0,19,3,0.007819307655982698,5,0.017202476843161937,3,0.007819307655982698,5,0.017202476843161937,0.12775461909529442,0.6715682169837079,0.1422335487394193,1.0,1.4549653585644229,1,0,0,0,0
1,0,0,0,80,7,0.013662966948040579,24,0.02049445042206087,7,0.013662966948040579,25,0.018217289264054106,0.14767690064327504,0.5780275564638416,0.26935370674075176,1.0,1.3003658139519398,1,0,0,0,0
1,0,0,0,12,2,0.0,1,0.022855895157945474,2,0.0,3,0.0,0.1831421909377308,0.5309592205191179,0.2851859161312488,1.0,2.1758213455423885,0,0,0,0,1
1,0,0,0,26,8,0.00969778409308271,4,0.048488920465413546,8,0.00969778409308271,7,0.01939556818616542,0.13229294278219858,0.5674911062795001,0.30021595093830133,0.0,2.128469301100725,0,1,0,0,0
1,0,0,0,16,3,0.07331588782979574,6,0.10539158875533138,3,0.07331588782979574,8,0.09622710277660691,0.2649190885685243,0.5457014178977125,0.1841412110374916,1.0,1.3561303203830235,1,1,0,0,0
1,0,0,0,34,38,0.06733088947071517,4,0.05486220623539754,38,0.06733088947071517,6,0.04987473294127049,0.16593977764165166,0.6560965142339422,0.17796370812440623,0.0,1.1093759965332608,1,0,0,0,0
1,0,0,0,40,7,0.0669686673624438,11,0.058327548993096216,7,0.0669686673624438,13,0.054006989808422425,0.051074321944346614,0.7845569365470741,0.15951650121126296,1.0,1.1495467074157006,1,1,0,0,0
1,0,0,0,33,7,0.04802147623742723,4,0.06860210891061033,10,0.042876318069131454,5,0.06688705618784507,0.0754374380983823,0.44826460160477705,0.1536739058664791,1.0,1.3690136143259537,0,0,0,0,1
1,0,0,0,8,0,0.009270761250936682,6,0.08807223188389848,1,0.006953070938202512,6,0.08807223188389848,0.0897734952366419,0.532377028333079,0.18690821361353943,1.0,1.2334919203645924,0,1,0,0,0
1,0,0,0,5,0,0.04041283343812652,1,0.06061925015718979,5,0.02020641671906326,2,0.05657796681337713,0.14505714505714504,0.4877624877624878,0.1512538179204846,1.0,1.3765523567333802,0,1,0,0,0
