wifi_count,edge_wifi_count
3,0
0,1
1,5
1,2
0,4
1,0
2,0
1,1
0,0
2,1
5,6
0,4
0,9
2,6
2,6
1,4
0,7
0,3
0,0
0,0
0,0
4,18
7,6
36,47
2,7
11,17
19,15
2,9
17,2
0,0
1,0
0,1
2,0
0,1
0,0
0,2
0,0
0,1
0,1
0,2
2,9
0,0
3,0
0,5
