d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
1,0,27,0
1,1,0,4
3,2,4,5
0,1,7,15
0,2,20,19
0,0,16,0
2,0,12,1
0,0,5,0
1,0,20,4
1,0,9,8
0,1,4,11
9,1,20,12
3,2,28,8
1,0,3,20
3,0,13,13
6,3,6,14
0,0,5,0
1,5,5,22
3,0,8,4
0,2,2,18
0,1,4,39
2,0,8,0
6,9,20,18
2,5,6,17
35,24,14,36
4,6,38,10
2,32,11,31
1,16,12,17
3,0,4,15
0,3,112,2
1,0,9,4
0,1,6,15
0,0,5,9
2,0,39,9
1,2,12,155
0,0,15,61
0,1,3,117
0,3,7,68
2,0,2,10
3,4,14,25
