wifi_count,edge_wifi_count
2,0
0,0
0,1
0,0
0,0
2,3
0,2
0,4
0,0
0,0
0,0
0,0
0,0
3,4
2,2
0,2
1,8
3,0
5,4
0,3
0,0
1,2
0,18
3,2
3,64
7,6
4,17
0,1
8,4
4,1
0,9
3,3
1,2
1,6
0,7
1,0
1,5
0,0
2,0
0,2
