honk_duration,edge_honk_duration
0,0
51,0
1,1
3,1
0,3
40,1
0,13
0,3
0,1
1,6
4,1
1,1
0,2
1,5
1,12
0,9
2,13
3,24
0,2
2,8
1,5
3,10
0,5
1,3
0,10
3,10
3,20
6,17
8,2
1,9
102,7
0,9
5,5
12,0
5,18
0,6
0,1
2,10
0,32
0,0
1,6
5,16
0,16
0,4
