wifi_count,edge_wifi_count
4,0
16,0
0,4
0,0
2,1
1,1
6,5
0,1
0,7
1,0
0,0
0,1
0,0
0,3
0,2
0,18
0,5
5,15
10,7
10,31
8,0
44,50
4,31
14,6
1,23
1,0
0,0
0,0
0,0
1,1
9,10
2,3
4,7
4,16
3,3
0,1
1,0
0,1
0,1
0,0
1,1
0,10
0,1
0,5
2,4
