d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
14,0,20,0
9,0,55,13
1,0,0,0
0,0,1,0
1,7,4,2
0,0,0,2
1,0,3,13
0,1,0,0
2,3,1,2
2,4,5,5
0,1,1,2
0,9,1,3
0,3,0,0
0,1,1,6
1,0,2,1
1,3,2,9
1,1,0,1
2,2,1,1
0,0,0,3
3,10,4,12
4,15,16,10
1,0,0,0
8,5,27,0
7,4,7,8
20,8,10,1
5,1,3,1
2,0,0,0
105,51,80,4
0,48,15,8
3,0,17,2
10,6,20,1
1,3,0,5
3,17,3,5
4,6,1,12
1,10,2,2
8,7,17,8
1,2,3,7
0,0,1,1
1,1,4,4
4,6,6,1
0,6,5,2
5,2,7,4
5,2,2,2
1,0,2,0
1,0,0,4
1,1,1,4
3,0,5,0
3,0,5,2
1,0,0,0
0,4,0,0
2,4,1,0
1,1,2,1
2,1,3,1
3,4,3,5
1,1,2,1
