honk_duration,edge_honk_duration
9,0
183,5
5,28
11,19
5,11
3,3
1,9
7,24
0,42
0,37
5,56
6,44
0,13
0,16
28,12
5,10
19,54
7,16
0,10
1,27
1,10
0,15
3,5
10,8
3,29
4,23
5,13
2,14
8,10
3,12
2,3
2,1
0,34
1,0
0,0
2,0
