poi_column,Size,tr_acc,tr_precision,tr_recall,tr_f1-score,te_acc,te_precision,te_recall,te_f1-score
Is_Bus_stop,"3840>>{0: 2334, 1: 1506}","{'mean': 0.9318294270833334, 'std': 0.00409902471919187}","{'mean': 0.9318997465960104, 'std': 0.004151435626620936}","{'mean': 0.9318294270833334, 'std': 0.00409902471919187}","{'mean': 0.9318499943164782, 'std': 0.0041188881280306965}","{'mean': 0.8853645833333332, 'std': 0.011730202736952166}","{'mean': 0.8853154686276865, 'std': 0.011847082638435006}","{'mean': 0.8853645833333332, 'std': 0.011730202736952166}","{'mean': 0.8850989862367207, 'std': 0.011821929164877695}"
Is_Turn,"3840>>{0: 2819, 1: 1021}","{'mean': 0.9336848958333335, 'std': 0.003907898957515766}","{'mean': 0.9342566517805355, 'std': 0.003825371133812038}","{'mean': 0.9336848958333335, 'std': 0.003907898957515766}","{'mean': 0.9318005987448263, 'std': 0.004181227946038812}","{'mean': 0.878828125, 'std': 0.011527401919282622}","{'mean': 0.8770188788376594, 'std': 0.012691944582140385}","{'mean': 0.878828125, 'std': 0.011527401919282622}","{'mean': 0.8734227684717637, 'std': 0.012253640494576386}"
Is_Signal,"3840>>{0: 3576, 1: 264}","{'mean': 0.98697265625, 'std': 0.001346082767012008}","{'mean': 0.9869166164966395, 'std': 0.0013519678379029748}","{'mean': 0.98697265625, 'std': 0.001346082767012008}","{'mean': 0.9864429715459531, 'std': 0.0014708582783586664}","{'mean': 0.9673697916666667, 'std': 0.005563477695756549}","{'mean': 0.96575949741463, 'std': 0.006437583086819261}","{'mean': 0.9673697916666667, 'std': 0.005563477695756549}","{'mean': 0.9641505167479022, 'std': 0.006704942436285913}"
Is_Congestion,"3840>>{0: 2975, 1: 865}","{'mean': 0.8700846354166667, 'std': 0.003884624383377996}","{'mean': 0.8835955219440831, 'std': 0.003211381624024537}","{'mean': 0.8700846354166667, 'std': 0.003884624383377996}","{'mean': 0.8503198199511276, 'std': 0.005456712723053176}","{'mean': 0.8202604166666667, 'std': 0.008017958088548615}","{'mean': 0.8122174357205277, 'std': 0.012697207429232067}","{'mean': 0.8202604166666667, 'std': 0.008017958088548615}","{'mean': 0.7871819036319588, 'std': 0.011415368964445075}"
Is_Adhoc,"3840>>{0: 2526, 1: 1314}","{'mean': 0.8513020833333332, 'std': 0.005924479166666667}","{'mean': 0.8604016602930661, 'std': 0.005847514334327505}","{'mean': 0.8513020833333332, 'std': 0.005924479166666667}","{'mean': 0.8428889784143355, 'std': 0.006780110004318494}","{'mean': 0.7702604166666667, 'std': 0.013119831985183513}","{'mean': 0.7688819001622604, 'std': 0.015705014117046376}","{'mean': 0.7702604166666667, 'std': 0.013119831985183513}","{'mean': 0.7544762698283632, 'std': 0.014639669007867926}"
