lat,long,wifi_count,Is_Congestion
23.49405550608571,87.31704247094288,16,1
23.49402602,87.31569841999998,0,1
23.49996538727272,87.30619689272726,0,1
23.55499868,87.28573480636364,0,1
23.49555895,87.31490419000002,0,1
23.49429283627831,87.31713236957926,13,1
23.54348402,87.2876893190909,0,1
23.535533265,87.29889076,0,1
23.563296881666666,87.28248339083332,0,1
23.5450643825,87.2815838675,1,1
23.49789370317073,87.31126807536585,0,1
23.49437914046296,87.31706896796301,6,1
23.49894510073593,87.30935783155844,0,1
23.50080487,87.30601536714286,0,1
23.507071106666668,87.30975680666668,0,1
23.510648095,87.3105579525,0,1
23.52300801125,87.31729908708336,1,1
23.52389174555556,87.31802827333334,0,1
23.524358634000002,87.31648239799999,0,1
23.54424197,87.28351432,0,1
23.54466478,87.28251652,0,1
23.54826139,87.28361405125,3,1
23.553285865,87.2867030375,0,1
23.5544796825,87.286099745,0,1
23.559079,87.28463293,0,1
23.494278309218753,87.31677874015621,5,1
23.495817292500004,87.314524174,2,1
23.523134385263155,87.31738569394737,0,1
23.5237702213158,87.31791096605266,1,1
23.524688331,87.31850004449998,2,1
23.5360166775,87.29962974,0,1
23.53515651382716,87.29739950950619,9,1
23.53559445201753,87.2962951647368,14,1
23.537242910000003,87.29390456833332,9,1
23.54586311,87.28169598,0,1
23.546660716521746,87.28235512304346,2,1
23.55327083875,87.28673570125,0,1
23.554444397142852,87.28611158285715,2,1
23.560269936999997,87.28417512899998,0,1
23.561745896999998,87.28337315799999,0,1
23.56324995,87.28248036222222,1,1
23.563919110625,87.28208059812498,0,1
23.494414763870967,87.31710313556455,4,1
23.49876102074073,87.30972819981486,0,1
23.51115629,87.31052354,0,1
23.53536397839999,87.29547014600003,3,1
23.53635639690476,87.29598861952377,15,1
23.53893908500001,87.29442510000001,2,1
23.55334284285714,87.28663945857143,0,1
23.563791175,87.2821407625,0,1
23.564250766111112,87.28196783666668,3,1
23.494406378548394,87.31709465080645,10,1
