lat,long,wifi_count,Is_Turn
23.52642490212121,87.3110340657576,1,1
23.53582545,87.29605937115387,8,1
23.5430994975,87.29050019874998,0,1
23.544281258,87.288443358,0,1
23.56394944666667,87.28383862999998,0,1
23.52644436375,87.31105787500002,0,1
23.535892350833336,87.29592009166667,5,1
23.544209692000003,87.28841718599999,0,1
23.556132319285716,87.28634566142857,0,1
23.56207830375001,87.28318510375001,1,1
23.49991784,87.30660045,0,1
23.5018666125,87.3066096675,0,1
23.51931850571429,87.3111496857143,0,1
23.52648573882353,87.31107394058823,0,1
23.53589434636364,87.29594847818181,2,1
23.54264055,87.28697955,0,1
23.556082175294122,87.286356365,2,1
23.510577639166666,87.310606485,0,1
23.526416669423078,87.31110879057691,1,1
23.53591538234568,87.29597842691359,13,1
23.543048677575754,87.29053711666668,6,1
23.544297081,87.28844475499999,1,1
23.542645295,87.286773465,0,1
23.5639895625,87.2837182075,3,1
23.526442076,87.31108432199999,0,1
23.54308892333333,87.29049314666666,0,1
23.543079773157892,87.29045194947369,2,1
23.5443196,87.288438445,0,1
23.56401843,87.28377301,0,1
23.5105078475,87.31059941875002,0,1
23.52658425923077,87.31110506230766,0,1
23.535852142857138,87.29604463199999,11,1
23.538394471,87.29557629799999,4,1
23.543120656000003,87.29043641000001,0,1
23.54429971,87.28847006000002,0,1
23.510525058125,87.31052783062502,0,1
23.535835150000004,87.295912232,0,1
23.544224555,87.2884520975,0,1
23.542659108333336,87.28707646666668,0,1
23.55615654466667,87.28635743133331,0,1
23.563974305,87.2837830625,2,1
23.49360503546939,87.31658594424488,17,1
23.519384836842107,87.31110894842107,2,1
23.526466593125,87.31104062687498,0,1
23.54429937,87.28841388000002,0,1
23.542613885,87.28683230499998,0,1
23.563948832500003,87.28379144874998,1,1
23.510577026,87.31054887299999,0,1
23.526477208000003,87.311069242,0,1
23.53582697915889,87.29599994093456,16,1
23.54425325857143,87.28842636142859,0,1
23.556181477777766,87.28638632666667,0,1
23.493636485882345,87.31655921779414,19,1
23.49993444666667,87.30649022555558,3,1
