wifi_count,edge_wifi_count
17,0
0,3
0,0
0,1
0,1
2,2
0,2
0,1
0,2
1,1
0,8
4,1
2,14
0,0
2,5
0,20
10,41
4,31
5,17
0,8
1,6
1,0
2,0
0,0
0,15
1,1
2,5
2,4
2,1
1,2
0,11
0,3
0,1
0,0
1,0
0,0
1,0
2,0
1,0
0,0
3,3
0,0
1,4
