wifi_count,edge_wifi_count
9,0
4,2
0,5
0,2
0,0
4,9
0,7
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,1
0,4
7,4
8,4
8,18
19,17
25,60
2,37
3,7
8,14
0,0
0,1
3,5
0,0
0,6
0,3
1,1
5,1
0,2
0,0
1,4
0,0
1,1
1,13
