lat,long,stay_duration,start_date,start_time,end_date,end_time,wifi_count,edge_wifi_count,honk_duration,edge_honk_duration,d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,0,RSI,Is_Bus_stop,Is_Signal,Is_Turn,Is_Congestion,Is_Adhoc
23.564326560090922,87.28308334745459,110,09/14/2019,15:41:01,09/14/2019,15:42:50,0,0,10,0,0,0,10,0,79.10723114013672,9.292034149169922,2.731367826461792,-5.578485012054443,-6.068101406097412,index,0.0,Not Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.559351201529413,87.2848071702353,85,09/14/2019,15:45:03,09/14/2019,15:46:36,7,3,8,12,9,1,8,12,74.20226287841797,-1.0599777698516846,-4.171583175659181,-6.1317243576049805,-6.292738914489746,lat,4.074062054137548,Bus_stop,Not Signal,Turn,Not Congestion,Not Adhoc
23.5552430575,87.2856352475,4,09/14/2019,15:47:54,09/14/2019,15:48:04,0,3,0,3,0,3,0,3,74.40460205078125,13.102766036987305,5.618788719177246,-1.4996345043182373,-2.2143723964691158,long,2.9199481252516626,Not Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.5542046,87.28622752,1,09/14/2019,15:48:30,09/14/2019,15:48:30,0,3,0,0,0,3,0,0,74.4036865234375,9.946489334106444,1.368435263633728,-1.3775618076324463,-2.592081308364868,,2.074398966641492,Not Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.553323583333334,87.28670061833333,6,09/14/2019,15:48:50,09/14/2019,15:48:56,0,1,0,1,0,1,0,1,86.2302017211914,18.864669799804688,3.2432372570037837,0.5123345851898193,-0.96430504322052,,2.170918385758186,Not Bus_stop,Not Signal,Not Turn,Congestion,Not Adhoc
23.55123143400001,87.28606796599999,50,09/14/2019,15:49:48,09/14/2019,15:50:37,2,3,1,0,5,0,1,0,68.05657196044922,2.5755631923675537,2.544240474700928,1.1131981611251829,-0.5550252795219421,,0.0,Bus_stop,Not Signal,Not Turn,Not Congestion,Not Adhoc
23.5500844725,87.28515282166666,12,09/14/2019,15:51:00,09/14/2019,15:51:11,2,1,3,2,2,1,4,1,63.584815979003906,19.26633644104004,13.01807975769043,9.839296340942383,-1.7552112340927124,,1.4692462021154369,Bus_stop,Not Signal,Not Turn,Not Congestion,Not Adhoc
23.548229537142852,87.28373622142854,7,09/14/2019,15:51:44,09/14/2019,15:51:50,1,7,1,3,1,7,1,3,83.34679412841797,19.75044822692871,10.142403602600098,4.926758766174316,2.420116662979126,,1.1445572906697414,Bus_stop,Not Signal,Not Turn,Not Congestion,Not Adhoc
23.547064906666666,87.28277750166666,6,09/14/2019,15:52:13,09/14/2019,15:52:18,1,9,5,5,1,9,8,2,66.33872985839844,10.378016471862793,8.902287483215332,-0.04695624485611916,-0.8190212845802307,,1.3989892583649317,Not Bus_stop,Not Signal,Not Turn,Not Congestion,Adhoc
23.545316969,87.281371436,10,09/14/2019,15:52:51,09/14/2019,15:53:00,1,14,2,6,6,9,2,6,71.29230499267578,11.065454483032227,4.1040005683898935,1.237939953804016,-4.402915954589844,,1.4710503993418929,Bus_stop,Not Signal,Turn,Not Congestion,Not Adhoc
23.543897855,87.28424287499998,6,09/14/2019,15:53:46,09/14/2019,15:53:51,2,5,1,4,2,5,1,4,73.0481185913086,7.678505897521973,3.569591522216797,2.634219169616699,-0.7686176896095276,,1.07505320305564,Not Bus_stop,Not Signal,Not Turn,Not Congestion,Adhoc
23.54178712333333,87.28988743083332,12,09/14/2019,15:56:09,09/14/2019,15:56:20,2,48,3,31,2,48,4,30,55.66503524780274,8.834609031677246,5.203787803649902,0.2043810933828354,-3.3890786170959477,,1.424015185462426,Bus_stop,Signal,Not Turn,Not Congestion,Not Adhoc
23.53929413142857,87.29317995,14,09/14/2019,15:57:15,09/14/2019,15:57:28,20,38,2,24,43,15,4,22,70.73319244384766,20.312402725219727,11.730589866638185,-0.8257566094398499,-4.397289752960205,,1.7675521170173296,Bus_stop,Signal,Not Turn,Congestion,Not Adhoc
