wifi_count,edge_wifi_count
18,0
0,6
0,1
1,0
0,2
0,1
1,1
5,3
0,2
0,5
0,3
0,1
0,2
0,1
0,9
3,1
3,6
8,5
6,16
0,11
0,41
12,28
3,30
1,3
2,6
0,7
0,0
1,0
10,6
1,12
4,3
4,6
1,1
4,2
6,2
2,6
0,2
2,2
0,1
0,5
0,0
6,7
