b_lat,b_long,BS,speed,start_time,ETA,Err,stay_duration,estimated_stay_duration,distance_from_prev
23.49471008,87.31699141,BS1,3.0719420700235105,11:50:08,,,0.0,32.07241379310345,0.0
23.49320866,87.31643745,BS2,1.7537630892431781,11:51:44,,,0.0,32.07241379310345,168.36125673746017
23.49633101,87.31373774,BS3,8.9861165370191,11:54:51,11:54:47,-0.0666666666666666,21.0,32.07241379310345,479.82043519855574
23.50029568,87.30586601,BS4,8.740757983006038,11:57:01,11:57:07,0.1,43.0,32.07241379310345,945.3824072826293
23.50322107,87.30746845,BS5,8.197871222148562,11:58:38,11:58:12,-0.4333333333333333,34.0,32.07241379310345,375.35175617611617
23.50426426,87.30816503,BS6,4.5414105938810305,11:59:31,,,0.0,32.07241379310345,142.8400733212752
23.51181651,87.31059006,BS7,5.29422310179215,12:01:22,,,0.0,32.07241379310345,937.7165814898453
23.5198336,87.31119591,BS8,6.0386253341070715,12:02:40,,,0.0,32.07241379310345,899.7884628472284
23.52831251,87.31119007,BS9,6.929543104140277,12:04:58,,,0.0,32.07241379310345,1538.9371716002079
23.53321597,87.3065011,BS10,7.227956025634262,12:06:07,,,0.0,32.07241379310345,735.072000356613
23.53683653,87.30153599,BS11,10.065188055138693,12:07:26,12:07:20,-0.1,11.0,32.07241379310345,678.9275161197675
23.53513681,87.29784925,BS12,9.99653070076616,12:08:32,12:08:39,0.1166666666666666,30.0,32.07241379310345,496.81968839138153
23.53771142,87.29670549,BS13,10.61923199323436,12:11:29,12:11:49,0.3333333333333333,18.0,32.07241379310345,482.29115260179697
23.53878878,87.29487424,BS14,7.571582018177188,12:12:17,,,0.0,32.07241379310345,237.29879175818496
23.53912347,87.29315596,BS15,11.271292852991628,12:12:38,12:12:37,-0.0166666666666666,35.0,32.07241379310345,189.52875420245346
23.54192789,87.28973901,BS16,12.414699744439137,12:14:00,12:13:59,-0.0166666666666666,50.0,32.07241379310345,513.5677622851817
23.54415651,87.28807897,BS17,13.108793772829534,12:15:56,12:16:04,0.1333333333333333,8.0,32.07241379310345,460.83022747990253
23.54443782,87.28285678,BS18,8.687577658505637,12:17:58,,,0.0,32.07241379310345,690.4607784034451
23.54529303,87.28125296,BS19,8.63386014728036,12:18:41,,,0.0,32.07241379310345,195.28482523873208
23.54694405,87.28255933,BS20,8.686941560190336,12:19:36,,,0.0,32.07241379310345,239.04697988287444
23.54798002,87.2833887,BS21,8.568708234890883,12:19:58,,,0.0,32.07241379310345,148.86525847206758
23.55005833,87.28503922,BS22,8.281414421402715,12:21:04,,,0.0,32.07241379310345,293.2765997381812
23.55122582,87.28598304,BS23,15.18610525715534,12:21:39,12:21:18,-0.35,12.0,32.07241379310345,165.116752413036
23.55248702,87.28704521,BS24,14.710512082073798,12:22:31,12:22:32,0.0166666666666666,6.0,32.07241379310345,180.1564631438905
23.55391625,87.2863592,BS25,14.377249597578157,12:23:14,12:23:11,-0.05,23.0,32.07241379310345,177.24539337614806
23.55569605,87.28557586,BS26,7.124242446805867,12:24:21,,,0.0,32.07241379310345,227.64057257251625
23.55939141,87.28451824,BS27,6.6687397293700785,12:25:54,,,0.0,32.07241379310345,528.4051369108511
23.56401702,87.28329682,BS28,6.200182908553163,12:27:52,,,0.0,32.07241379310345,618.203885669489
