b_lat,b_long,BS,speed,start_time,ETA,Err,stay_duration,estimated_stay_duration,distance_from_prev
23.49471008,87.31699141,BS1,3.0719420700235105,10:55:09,,,0.0,32.07241379310345,0.0
23.49320866,87.31643745,BS2,1.3642505763391501,10:57:41,,,0.0,32.07241379310345,207.3660878122811
23.49633101,87.31373774,BS3,1.5278152087069496,11:03:03,,,0.0,32.07241379310345,516.8183218405253
23.50029568,87.30586601,BS4,2.8435324596111893,11:04:56,,,0.0,32.07241379310345,944.9691458109592
23.50322107,87.30746845,BS5,8.906071936769306,11:06:02,11:06:26,0.4,53.0,32.07241379310345,375.55403557607747
23.50426426,87.30816503,BS6,3.3272527039190067,11:07:13,,,0.0,32.07241379310345,187.8789757020686
23.51181651,87.31059006,BS7,3.9695743274864173,11:09:11,,,0.0,32.07241379310345,899.4075809912247
23.5198336,87.31119591,BS8,4.375315688530463,11:11:26,,,0.0,32.07241379310345,910.797552748073
23.52831251,87.31119007,BS9,8.620892338592341,11:14:13,11:14:32,0.3166666666666666,21.0,32.07241379310345,1528.5445406420636
23.53321597,87.3065011,BS10,9.192439475904065,11:15:42,11:16:15,0.55,10.0,32.07241379310345,727.4612349268227
23.53683653,87.30153599,BS11,10.262167135624042,11:17:02,11:17:29,0.45,16.0,32.07241379310345,706.8991990109535
23.53513681,87.29784925,BS12,11.10034088896804,11:18:32,11:18:25,-0.1166666666666666,29.0,32.07241379310345,507.93722205924405
23.53771142,87.29670549,BS13,13.776871762082113,11:21:10,11:20:21,-0.8166666666666667,38.0,32.07241379310345,485.59252290904715
23.53878878,87.29487424,BS14,7.621218141575242,11:22:21,,,0.0,32.07241379310345,246.51851511059522
23.53912347,87.29315596,BS15,15.23972226697806,11:22:48,11:22:56,0.1333333333333333,17.0,32.07241379310345,185.5126349931852
23.54192789,87.28973901,BS16,15.527946880674085,11:24:01,11:23:53,-0.1333333333333333,14.0,32.07241379310345,513.0933777403952
23.54415651,87.28807897,BS17,7.125559484146521,11:27:22,,,0.0,32.07241379310345,490.73454627273713
23.54443782,87.28285678,BS18,6.767570851337489,11:29:40,,,0.0,32.07241379310345,685.3242616911702
23.54529303,87.28125296,BS19,20.104146942311235,11:30:22,11:30:25,0.05,17.0,32.07241379310345,189.44369140348863
23.54694405,87.28255933,BS20,20.6282540196747,11:31:21,11:31:06,-0.25,15.0,32.07241379310345,238.96231714423084
23.54798002,87.2833887,BS21,6.586449278033875,11:31:49,,,0.0,32.07241379310345,150.4428896109148
23.55005833,87.28503922,BS22,6.2961122527237094,11:32:55,,,0.0,32.07241379310345,289.6312790311931
23.55122582,87.28598304,BS23,21.29416554220925,11:33:24,11:32:54,-0.5,11.0,32.07241379310345,163.94318005894274
23.55248702,87.28704521,BS24,21.39814610587396,11:34:12,11:34:05,-0.1166666666666666,3.0,32.07241379310345,180.46373497203422
23.55391625,87.2863592,BS25,5.996866804775543,11:34:54,,,0.0,32.07241379310345,180.94374684356262
23.55569605,87.28557586,BS26,21.938349573307644,11:35:36,11:34:56,-0.6666666666666666,18.0,32.07241379310345,216.3317640748828
23.55939141,87.28451824,BS27,5.543360116393348,11:37:16,,,0.0,32.07241379310345,525.4654073737056
23.56401702,87.28329682,BS28,5.4450063489504625,11:39:36,,,0.0,32.07241379310345,618.9024964613964
