b_lat,b_long,BS,speed,start_time,ETA,Err,stay_duration,estimated_stay_duration,distance_from_prev
23.56087993,87.28386822,BS1,3.208857802457898,16:18:57,,,0.0,27.2903981264637,461.07312703424924
23.55941146,87.28472486,BS2,6.2012704866558135,16:19:36,16:19:07,-0.4833333333333333,42.0,27.2903981264637,184.17424480321432
23.55561312,87.28554798,BS3,6.067936488504889,16:21:57,16:22:12,0.25,31.0,27.2903981264637,525.4891287410328
23.55386124,87.28647572,BS4,3.668630346641219,16:23:01,,,0.0,27.2903981264637,227.0116631610349
23.55247571,87.28704972,BS5,5.933326851587886,16:23:53,16:23:54,0.0166666666666666,2.0,27.2903981264637,165.51130440443694
23.55119384,87.28602042,BS6,5.735724690434495,16:24:34,16:24:51,0.2833333333333333,2.0,27.2903981264637,177.05909321919557
23.55005188,87.28515498,BS7,5.655885540145355,16:25:07,16:25:28,0.35,21.0,27.2903981264637,154.25899121098655
23.54819878,87.28365987,BS8,5.587170793715568,16:26:19,16:26:21,0.0333333333333333,28.0,27.2903981264637,258.3082639608376
23.54524842,87.28129974,BS9,5.550877417066523,16:28:11,16:28:12,0.0166666666666666,21.0,27.2903981264637,415.80191350310815
23.54453642,87.28282814,BS10,4.160360780948691,16:28:55,,,0.0,27.2903981264637,181.31074953472216
23.54297979,87.2872546,BS11,4.340225983004269,16:30:28,,,0.0,27.2903981264637,522.5319155229445
23.54423801,87.28811681,BS12,4.363773484333844,16:31:02,,,0.0,27.2903981264637,166.12311463943524
23.54167796,87.28987733,BS13,5.926248715223226,16:32:19,16:32:43,0.4,9.0,27.2903981264637,473.7879562338376
23.53916408,87.29318138,BS14,6.0835422749653,16:33:28,16:34:06,0.6333333333333333,23.0,27.2903981264637,475.5399163977272
23.53898312,87.29470342,BS15,4.820959212791777,16:34:09,,,0.0,27.2903981264637,158.18316070499804
23.53777581,87.29679524,BS16,6.168849045239425,16:34:50,16:35:06,0.2666666666666666,23.0,27.2903981264637,258.538152195355
23.53575012,87.29748374,BS17,5.196001963514626,16:36:29,,,0.0,27.2903981264637,439.8640496379685
23.52722198,87.31118444,BS18,5.378647139692152,16:47:17,,,0.0,27.2903981264637,2442.172369446431
23.51961638,87.31134396,BS19,6.000192046874027,16:50:09,,,0.0,27.2903981264637,1488.6465669539548
23.51160875,87.31061834,BS20,6.476002675328731,16:51:29,,,0.0,27.2903981264637,896.2319384218263
23.50710989,87.30988209,BS21,6.597244969926019,16:52:38,,,0.0,27.2903981264637,515.4141179610633
23.50362896,87.30777677,BS22,18.03144789408812,16:53:34,16:52:59,-0.5833333333333334,12.0,27.2903981264637,448.6818716904836
23.50028882,87.30607035,BS23,19.12464713427007,16:55:01,16:55:07,0.1,14.0,27.2903981264637,418.02113965858007
23.4964703,87.31366647,BS24,7.274299511849583,16:57:24,,,0.0,27.2903981264637,906.2711590646722
23.49469386,87.31687799,BS25,7.680204211366185,16:58:30,,,0.0,27.2903981264637,395.2871844085839
