b_lat,b_long,BS,speed,start_time,ETA,Err,stay_duration,estimated_stay_duration,distance_from_prev
23.56087993,87.28386822,BS1,3.208857802457898,16:04:18,,,0.0,27.2903981264637,436.9552462013659
23.55941146,87.28472486,BS2,6.103402579727402,16:04:50,16:05:00,0.1666666666666666,1.0,27.2903981264637,183.56199250351398
23.55561312,87.28554798,BS3,5.968038925238009,16:06:51,16:06:50,-0.0166666666666666,29.0,27.2903981264637,520.4546747508148
23.55386124,87.28647572,BS4,3.209366496368922,16:07:58,,,0.0,27.2903981264637,229.42758196372642
23.55247571,87.28704972,BS5,6.293906233952051,16:08:41,16:08:47,0.1,10.0,27.2903981264637,165.8411258673607
23.55119384,87.28602042,BS6,6.255089542988755,16:09:25,16:09:37,0.2,11.0,27.2903981264637,183.88786578226996
23.55005188,87.28515498,BS7,6.230611196450929,16:10:02,16:10:18,0.2666666666666666,22.0,27.2903981264637,159.19214544222837
23.54819878,87.28365987,BS8,6.276345413062609,16:11:03,16:11:11,0.1333333333333333,35.0,27.2903981264637,258.4415442280674
23.54524842,87.28129974,BS9,6.366134189923431,16:13:04,16:13:12,0.1333333333333333,15.0,27.2903981264637,427.26119212381445
23.54453642,87.28282814,BS10,3.9718324034980137,16:13:56,,,0.0,27.2903981264637,183.48465759848068
23.54297979,87.2872546,BS11,4.220579340583199,16:15:20,,,0.0,27.2903981264637,526.6615456294412
23.54423801,87.28811681,BS12,6.514882077469617,16:15:53,16:16:14,0.35,7.0,27.2903981264637,165.1709228358627
23.54167796,87.28987733,BS13,4.353400563158969,16:17:28,,,0.0,27.2903981264637,464.659814701944
23.53916408,87.29318138,BS14,6.654168889713436,16:18:33,16:19:02,0.4833333333333333,4.0,27.2903981264637,474.5526966097191
23.53898312,87.29470342,BS15,6.624492193917304,16:19:02,16:19:30,0.4666666666666667,26.0,27.2903981264637,158.22415402741808
23.53777581,87.29679524,BS16,6.641468030517731,16:20:10,16:20:15,0.0833333333333333,43.0,27.2903981264637,262.74864360391985
23.53575012,87.29748374,BS17,7.614864716019989,16:21:52,16:21:59,0.1166666666666666,280.0,27.2903981264637,431.8818818607069
23.52722198,87.31118444,BS18,19.34671273454181,16:32:16,16:31:56,-0.3333333333333333,16.0,27.2903981264637,2381.908576773116
23.51961638,87.31134396,BS19,8.643658678874548,16:34:42,,,0.0,27.2903981264637,1480.5971695013295
23.51160875,87.31061834,BS20,9.426517084588797,16:35:46,,,0.0,27.2903981264637,902.206634672797
23.50710989,87.30988209,BS21,26.910263813168044,16:36:33,16:35:13,-1.3333333333333333,14.0,27.2903981264637,510.79419925279217
23.50362896,87.30777677,BS22,28.755434830711422,16:37:40,16:37:17,-0.3833333333333333,8.0,27.2903981264637,451.4894823126997
23.50028882,87.30607035,BS23,30.88209578690765,16:38:52,16:38:54,0.0333333333333333,10.0,27.2903981264637,421.0490416519078
23.4964703,87.31366647,BS24,11.074739164022626,16:40:40,,,0.0,27.2903981264637,901.5996033548672
23.49469386,87.31687799,BS25,11.340299320257625,16:41:34,,,0.0,27.2903981264637,388.31316227690877
