start_time,end_time,score
13:16:03,13:16:13,2.0
13:16:25,13:17:08,2.0
13:17:19,13:17:25,-2.0
17:28:16,17:28:23,-2.0
19:28:17,19:28:18,-2.0
19:28:47,19:28:55,-2.0
11:23:17,11:23:30,-1.00044625233113
15:40:48,15:41:34,-2.0
15:41:44,15:41:50,-2.0
15:42:26,15:42:27,-2.0
17:40:31,17:41:38,-0.9905866522076547
