d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
0,0,0,0
1,0,3,0
0,1,1,2
1,9,1,7
0,6,1,2
1,2,1,1
1,0,3,3
1,1,1,0
2,2,1,1
1,3,10,4
2,2,2,2
4,2,1,1
2,3,0,1
3,0,0,1
3,5,0,0
0,1,0,0
2,3,2,0
4,5,1,8
0,4,1,1
4,2,5,0
0,2,9,1
18,4,4,0
2,4,5,6
2,4,1,0
3,0,1,0
44,36,6,2
34,42,8,1
13,33,7,1
10,0,2,0
6,0,11,0
0,0,2,3
1,0,9,0
2,3,1,9
0,0,1,3
0,0,0,2
3,0,8,6
5,2,7,6
1,6,11,3
2,1,1,17
