honk_duration,edge_honk_duration
13,0
1,9
0,0
5,0
15,5
2,22
7,2
13,15
0,0
5,5
3,3
20,0
2,9
2,9
6,12
10,7
6,11
9,11
0,3
7,30
2,10
1,7
23,12
4,10
22,3
4,5
2,10
44,7
0,2
1,2
33,2
2,21
11,37
2,14
20,4
3,7
3,6
0,31
1,3
0,4
1,10
10,7
0,25
2,5
0,5
