start_time,end_time,score
17:09:20,17:09:26,-2.0
19:06:16,19:06:40,2.0
19:06:50,19:07:40,-2.0
15:54:03,15:54:07,-1.0003443822609104
15:54:43,15:55:07,2.0
17:35:25,17:35:29,-2.0
17:35:45,17:36:00,2.0
17:36:30,17:36:33,-2.0
17:37:08,17:37:24,2.0
