d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
0,0,0,0
10,0,108,0
0,5,4,48
0,0,6,16
0,0,6,51
3,1,24,51
1,5,9,34
3,1,7,4
1,2,5,20
0,5,9,80
1,0,0,7
0,1,4,75
1,0,10,46
0,1,6,3
1,1,33,33
0,0,7,2
0,0,11,0
0,1,4,11
0,0,10,1
1,0,10,10
0,1,9,20
0,0,5,1
1,5,2,28
1,13,12,90
4,16,8,62
11,2,55,13
3,31,11,25
25,38,14,35
0,29,1,42
2,2,38,17
2,1,13,3
8,2,13,11
6,18,7,28
2,2,7,7
1,0,6,2
0,0,5,17
0,1,9,0
0,1,5,10
3,1,8,5
2,0,9,13
3,2,6,10
4,0,5,3
8,12,6,38
4,0,16,10
4,2,11,33
3,1,11,7
3,0,19,6
2,0,6,6
2,0,21,3
0,0,10,1
1,0,19,8
1,0,3,3
0,0,8,3
1,1,21,16
0,2,18,9
11,4,16,38
1,11,19,34
1,0,9,1
