d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
3,0,30,0
10,0,119,0
1,5,3,12
0,0,1,5
3,1,16,12
5,2,21,37
2,0,15,2
0,4,5,63
0,0,10,19
0,3,0,89
1,0,9,0
0,0,0,17
0,0,9,23
0,4,1,35
0,5,7,44
4,8,11,49
0,2,3,15
6,0,50,3
6,8,17,15
0,1,4,3
2,5,0,7
14,0,8,7
5,0,3,1
40,0,24,4
1,24,26,49
7,17,45,25
2,0,15,46
1,4,3,13
0,0,19,2
0,0,5,4
1,6,3,53
8,3,31,3
4,3,25,21
2,6,6,19
5,2,6,19
4,1,8,10
0,3,8,18
2,3,10,18
3,1,29,26
1,0,13,7
0,2,5,13
1,0,11,17
1,0,8,9
1,6,2,30
2,1,15,18
1,3,18,21
2,1,5,33
