d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
3,0,36,0
0,1,11,4
2,0,18,34
0,2,4,5
1,0,4,1
2,0,4,12
2,3,29,20
1,5,15,58
0,0,8,16
3,2,18,3
0,0,7,12
0,0,7,10
2,1,19,10
2,5,8,10
3,1,6,8
3,1,9,6
2,3,2,12
2,0,4,5
1,0,6,4
1,0,9,0
3,5,17,14
5,2,15,10
3,2,10,3
4,2,4,19
3,0,5,2
2,0,7,4
1,2,12,43
0,3,5,20
4,10,9,21
4,8,17,24
0,20,3,39
27,14,3,9
19,0,10,1
26,40,32,52
11,0,5,3
0,0,5,3
10,7,16,2
31,11,160,16
1,0,29,13
2,0,118,3
0,0,2,7
0,2,3,250
0,2,1,35
1,0,11,9
0,0,5,8
1,0,4,7
1,0,1,13
1,0,3,1
6,3,24,40
2,0,7,10
3,15,205,35
0,4,4,33
