d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
21,0,111,0
1,5,37,39
0,0,12,29
0,0,5,12
0,1,3,19
0,0,24,7
0,1,6,13
2,5,5,15
8,0,16,2
0,0,4,4
0,4,5,52
1,3,12,51
0,0,10,39
6,7,9,50
8,6,30,44
15,0,84,9
6,12,12,21
3,17,3,22
16,8,4,8
31,0,22,2
1,20,11,24
2,2,7,3
10,12,38,29
6,2,35,42
2,8,3,13
0,0,12,6
0,0,1,11
1,0,4,0
2,5,10,9
2,0,10,1
6,0,4,3
4,0,2,11
9,0,7,1
6,6,10,24
2,1,4,17
6,14,12,39
1,0,7,15
0,2,6,11
1,1,9,8
0,0,1,2
1,0,0,15
3,8,14,29
2,1,6,20
0,2,3,12
0,0,5,11
0,1,3,10
3,2,12,9
