poi,tr_acc,tr_precision,tr_recall,tr_f1-score,te_acc,te_precision,te_recall,te_f1-score
Is_Bus_stop,0.604,0.6043591811104531,0.604,0.6036589705631157,0.5488611315209405,0.5835501291627393,0.5488611315209405,0.5540578274353621
Is_Turn,0.547645125958379,0.5476680001296256,0.547645125958379,0.5475908522092604,0.4908155767817781,0.6150468426942789,0.4908155767817781,0.5178140073055506
Is_Signal,0.6255430060816681,0.625679994136125,0.6255430060816681,0.6254409410769834,0.5121234386480529,0.9007883923937198,0.5121234386480529,0.6255239159382914
Is_Congestion,0.6208257437765634,0.6209417093971678,0.6208257437765634,0.62073482865475,0.8008817046289493,0.9507690485319267,0.8008817046289493,0.8682088745856605
Is_Adhoc,0.6130681818181818,0.6227377412947458,0.6130681818181818,0.6052942263215559,0.5128581925055107,0.542795398254196,0.5128581925055107,0.5046757224273762
