honk_duration,edge_honk_duration
36,0
14,5
14,33
1,9
3,2
1,15
26,22
10,64
3,21
14,7
3,16
2,15
15,14
17,14
6,10
2,12
0,9
3,7
0,27
11,27
6,7
2,21
3,15
10,45
1,8
2,14
5,24
11,31
0,42
0,12
3,8
2,11
44,43
12,6
1,14
197,6
115,7
1,7
0,7
1,3
1,79
0,198
9,11
3,10
4,29
20,40
2,15
201,39
2,38
